"sample_id" "date" "time" "lat" "lon" "depth_min" "depth_max" "sample_volconc.x" "sample_volconc.y" "biomass_ug" "Actinopterygii" "Amphipoda" "Anguilliformes" "Annelida" "Appendicularia" "Bryozoa" "Calanoida" "calyptopsis<Euphausiacea" "Cephalopoda" "Chaetognatha" "Cirripedia" "Cnidaria<Metazoa" "Corycaeidae" "darksphere" "Decapoda" "egg<other" "Eucalanidae" "Euphausiacea" "Gastropoda" "gelatinous" "Harosa" "Harpacticoida" "Limacina" "Luciferidae" "Macrosetella" "multiple<other" "Myctophidae" "nauplii<Copepoda" "Oithonidae" "Ostracoda" "part<Crustacea" "Sapphirina" "Siphonophorae" "Thaliacea" "Thecosomata" "Unknowns" "zoea<Decapoda"
"1" "2019_pos536_bongo10l_lrg" 2019-08-25 "22:49" 33.1318333333333 -38.9811666666667 0 10 118988.7 118988.7 1050 0.000462228766260998 0.000109254072025327 0 0.000142870709571581 8.4041593865636e-05 0 0.00214306064357372 5.88291157059452e-05 2.52124781596908e-05 0.00105892408270701 0.000226912303437217 2.52124781596908e-05 3.36166375462544e-05 5.04249563193816e-05 0 7.56374344790724e-05 0 0.000781586822950415 0 0.000285741419143162 8.4041593865636e-06 5.04249563193816e-05 1.68083187731272e-05 2.52124781596908e-05 0 0.000798395141723542 0 0 0 0.000521057881966943 0.000336166375462544 7.56374344790724e-05 0.00105051992332045 0.000352974694235671 1.68083187731272e-05 8.4041593865636e-06 0
"2" "2019_pos536_bongo11l_lrg" 2019-08-25 "23:47" 33.1363333333333 -38.9791666666667 0 100 157457.7 157457.7 1251 0.000133369152477141 6.35091202272102e-05 6.35091202272102e-06 8.25618562953733e-05 1.90527360681631e-05 0 0.00287696314629262 6.35091202272102e-06 6.35091202272102e-06 0.00113681325206706 0.000158772800568026 1.2701824045442e-05 8.89127683180943e-05 6.35091202272102e-06 0 1.90527360681631e-05 0 0.000616038466203939 0 0.000152421888545305 0 6.35091202272102e-06 2.54036480908841e-05 1.2701824045442e-05 0 0.00115586598813523 0 0 0 0.000336598337204214 0.000406458369454145 3.81054721363261e-05 0.000209580096749794 0.000342949249226935 1.90527360681631e-05 6.35091202272102e-06 0
"3" "2019_pos536_bongo12l_lrg" 2019-08-26 "00:59" 0 -38.979 0 300 240287.7 240287.7 1101 8.32335571067516e-05 8.32335571067516e-05 0 8.32335571067516e-05 0 0 0.00157727590717294 8.32335571067516e-06 0 0.000903084094608255 0.00010404194638344 8.32335571067516e-06 2.49700671320255e-05 8.32335571067516e-06 0 3.74551006980382e-05 0 0.00027467073845228 0 6.65868456854013e-05 0 4.16167785533758e-06 8.32335571067516e-06 4.16167785533758e-06 0 0.000391197718401733 0 0 4.16167785533758e-06 0.000145658724936815 0.000112365302094115 7.07485235407389e-05 0.000228892282043567 0.000328772550571669 0 8.32335571067516e-06 1.24850335660127e-05
"4" "2019_pos536_bongo13r_lrg" 2019-08-28 "18:29" 34 -38 0 10 240262618.2 240262618.2 1670 4.7864291524648e-07 7.49180215168404e-08 0 2.49726738389468e-08 1.66484492259645e-08 0 2.97591029914116e-06 2.91347861454379e-08 0 1.09463553660717e-06 4.16211230649113e-09 6.2431684597367e-08 0 2.49726738389468e-08 2.49726738389468e-08 2.49726738389468e-08 0 1.41511818420698e-07 0 2.53888850695959e-07 0 1.16539144581752e-07 0 1.66484492259645e-08 0 1.00306906586436e-06 0 4.16211230649113e-09 8.32422461298226e-08 4.16211230649113e-09 7.07559092103492e-08 5.41074599843847e-08 3.28806872212799e-07 3.32968984519291e-08 0 0 4.16211230649113e-09
"5" "2019_pos536_bongo14l_lrg" 2019-08-28 "19:20" 34 -38 0 100 289163 289163 2961 0.000155621569841231 5.53321137213267e-05 0 2.76660568606634e-05 0 0 0.00284960385664833 1.03747713227488e-05 1.72912855379146e-05 0.00310205662550188 0.000380408281834121 1.03747713227488e-05 0.000145246798518483 3.11243139682463e-05 1.03747713227488e-05 3.11243139682463e-05 0 0.000318159653897629 0 0.000197120655132226 0 1.03747713227488e-05 0 6.91651421516584e-06 0 0.00191933269470852 0 0 3.45825710758292e-05 7.26233992592413e-05 0.00022478671199289 5.53321137213267e-05 0.000404616081587202 0.000159079826948814 3.45825710758292e-06 6.91651421516584e-06 0
"6" "2019_pos536_bongo15l_lrg" 2019-08-28 "20:31" 34 -38 0 300 244039 244039 1077 2.45862341674896e-05 2.0488528472908e-05 0 2.0488528472908e-05 0 0.000159810522088683 0.00192592167645335 0 4.0977056945816e-06 0.000258155458758641 7.37587025024689e-05 2.45862341674896e-05 8.19541138916321e-06 2.0488528472908e-05 0 1.63908227783264e-05 0 0.000569581091546843 0 4.0977056945816e-05 0 8.19541138916321e-06 4.0977056945816e-06 1.63908227783264e-05 4.0977056945816e-06 0.000643339794049312 0 0 0 6.96609968078873e-05 0.000208982990423662 2.45862341674896e-05 4.91724683349792e-05 0.000196689873339917 1.22931170837448e-05 0 8.19541138916321e-06
"7" "2019_pos536_bongo16r_lrg" 2019-08-30 "02:34" 33 -37 0 10 262618 262618 921 3.0462496858555e-05 2.66546847512356e-05 0 2.28468726439163e-05 0 1.52312484292775e-05 0.00164497483036197 7.61562421463875e-06 3.80781210731938e-06 0.000258931223297718 7.61562421463875e-06 0 1.52312484292775e-05 2.28468726439163e-05 1.52312484292775e-05 7.61562421463875e-06 0 0.000392204647053896 0 0.000140889047970817 0 0 0 0.00012184998743422 0 0.000297009344370911 0 0 0 9.90031147903038e-05 0.00012184998743422 0 0.000239892162761121 7.61562421463875e-06 3.80781210731938e-06 0 3.80781210731938e-06
"8" "2019_pos536_bongo17l_lrg" 2019-08-30 "03:32" 33 -37 0 100 209682 209682 1190 4.29221392394197e-05 9.53825316431549e-05 0 1.43073797464732e-05 4.76912658215774e-06 0 0.00263255787335107 9.53825316431549e-06 0 0.000367222746826146 7.63060253145239e-05 1.9076506328631e-05 2.38456329107887e-05 4.29221392394197e-05 4.76912658215774e-06 0.00010492078480747 0 0.000667677721502084 0 9.06134050609971e-05 4.76912658215774e-06 0 4.76912658215774e-06 4.76912658215774e-06 0 0.000758291126563081 9.53825316431549e-06 0 4.76912658215774e-06 0.000128766417718259 0.000424452265812039 1.43073797464732e-05 9.53825316431549e-05 2.38456329107887e-05 4.76912658215774e-06 0 0
"9" "2019_pos536_bongo18r_lrg" 2019-08-30 "04:48" 33.1516666666667 -37 0 100 209682 209682 336 9.53825316431549e-06 1.9076506328631e-05 0 1.43073797464732e-05 0 0 0.0006772159746664 0 0 0.00025276370885436 5.24603924037352e-05 0 0 0 0 0 0 0.000205072443032783 0 2.38456329107887e-05 0 0 4.76912658215774e-06 9.53825316431549e-06 0 5.72295189858929e-05 0 0 0 8.10751518966816e-05 5.24603924037352e-05 2.86147594929465e-05 8.10751518966816e-05 3.33838860751042e-05 0 0 0
"10" "2019_pos536_bongo19r_lrg" 2019-08-30 "21:21" 34 -37 0 10 65545 65545 348 0.00047295751010756 0.000320390571363186 0 0.000244107101990999 0 0 0.000366160652986498 0 1.52566938744374e-05 0.00105271187733618 3.05133877488748e-05 3.05133877488748e-05 1.52566938744374e-05 3.05133877488748e-05 3.05133877488748e-05 6.10267754977496e-05 0 0.00035090395911206 0 4.57700816233122e-05 0 0 1.52566938744374e-05 0.000259363795865436 0 0.000167823632618811 0 0 1.52566938744374e-05 0.000152566938744374 0.000228850408116561 3.05133877488748e-05 0.0012663055915783 3.05133877488748e-05 0 0 7.6283469372187e-05
